Special_Measures_Surrogate_Key,City,Zone_Measures,Start_Date,End_Date,Description,Key_Word
0,Ottawa,Orange,2020-10-27,2020-12-26,Ottawa is designated as a Restrict/Orange Zone(Designated Nov 7th),Restriction in place
1,Ottawa,White,2020-12-26,2021-01-12,Province wide lockdown begins,Lockdown
2,Ottawa,White,2021-01-12,2021-02-08,Ontario extends province wide lockdown,Lockdown Extended
3,Ottawa,White,2021-02-08,2021-02-16,Ottawa lockdown for another week,Lockdown Extended
4,Ottawa,Orange,2021-02-16,2021-02-27,"Ottawa stay-at home order ends, back to being Orange zone",Lockdown ended
5,Toronto,Orange,2020-10-27,2020-11-14,Toronto is designated as a Restrict/Orange Zone(Designated Nov 7th),Restriction in place
6,Toronto,Red,2020-11-14,2020-11-23,Toronto is declared a red zone(only outdoor dining allowed),More Restriction
7,Toronto,Grey,2020-11-23,2020-12-26,"Toronto goes into lockdown, designated as grey zone",Lockdown
8,Toronto,White,2020-12-26,2021-01-12,Province wide lockdown begins,Lockdown extended
9,Toronto,White,2021-01-12,2021-02-19,Toronto continues to be in lockdown,Lockdown extended
10,Toronto,White,2021-02-19,2021-02-27,Toronto in lockdown but some gyms and restaurants begin opening,Lockdown Eased
